Permissionaria;Autos;TC;Denominacao_da_linha;caracteristica
RAPIDO LUXO CAMPINAS LTDA;1;1;JUNDIAI - FRANCO DA ROCHA;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;2;3;PEREIRA BARRETO - ILHA SOLTEIRA;Semiurbana
TRANSRAPIDO SÃO FRANCISCO LTDA;3;4;RIO GRANDE - JALES;Semiurbana
TRANSRAPIDO SÃO FRANCISCO LTDA;4;4;POPULINA - JALES;Semiurbana
TRANSRAPIDO SÃO FRANCISCO LTDA;5;4;POPULINA - JALES;Semiurbana
VIAÇÃO MOURÃO LTDA;6;3;LENCOIS PAULISTA - PEDERNEIRAS;Rodoviária Convencional
VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;7;1;SOROCABA - BAIRRO DO CERCADO;Rodoviária Convencional
VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;8;1;SALTO DE PIRAPORA - SOROCABA;Rodoviária Convencional
AUTO ÔNIBUS SÃO JOÃO LTDA;9;2;ITAPETININGA - SARAPUI;Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;10;2;ABAITINGA - ITAPETININGA;Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;11;2;SOROCABA - BOITUVA;Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;12;2;PE DA SERRA - REGISTRO;Semiurbana
VIAÇÃO COMETA S/A;13;5;SAO MIGUEL ARCANJO - SOROCABA;Rodoviária Convencional
VIAÇÃO COMETA S/A;14;5;SOROCABA - CONCHAS;Rodoviária Convencional
VIAÇÃO GUAXUPE LTDA;15;1;MOCOCA - TAPIRATIBA;Rodoviária Convencional
VIAÇÃO COMETA S/A;16;5;SOROCABA - MONGAGUA;Rodoviária Litorânea
VIAÇÃO COMETA S/A;17;5;ITAPETININGA - PILAR DO SUL;Rodoviária Convencional
VIAÇÃO COMETA S/A;18;5;SALTO DE PIRAPORA - SARAPUI;Rodoviária Convencional
VIAÇÃO COMETA S/A;19;5;SOROCABA - PILAR DO SUL;Rodoviária Convencional
VIAÇÃO COMETA S/A;20;5;ITAPETININGA - SAO MIGUEL ARCANJO;Rodoviária Convencional
VIAÇÃO COMETA S/A;21;5;SOROCABA - LARANJAL PAULISTA;Rodoviária Convencional
VIAÇÃO COMETA S/A;22;5;SOROCABA - LARANJAL PAULISTA;Rodoviária Convencional
VIAÇÃO COMETA S/A;23;5;SAO MIGUEL ARCANJO - CAPAO BONITO;Rodoviária Convencional
VIAÇÃO COMETA S/A;24;5;SAO MIGUEL ARCANJO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;25;1;ITAPETININGA - IGUAPE;Rodoviária Litorânea
AUTO ÔNIBUS SÃO JOÃO LTDA;26;2;SOROCABA - SALTO DE PIRAPORA;Rodoviária Convencional
